rank_test_macro_f1,param_n_estimators,param_learning_rate,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__criterion,param_estimator__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
21,50,0.5,3,1,gini,balanced,0.9333510085169768,0.026083136898099837,0.9545536794380457,0.017032227257407873,0.9121483375959081,0.035183583519525635,0.8726153846153846,0.0472926179860698,0.9401207243460764,0.022948777690754825,0.9665025641025642,0.02027514039030179,1.0,0.0
22,100,0.5,2,5,entropy,,0.9333406779821809,0.02409010252252564,0.9545511107117743,0.015589199732064952,0.9121302452525877,0.032661134700259865,0.8726153846153846,0.0472926179860698,0.9401207243460765,0.021095348881648324,0.9656136752136751,0.02114930929506711,1.0,0.0
23,200,0.5,3,5,entropy,,0.933290218746327,0.0214388051323657,0.9547422239463659,0.013976594530950032,0.911838213546288,0.02894151950818389,0.8652307692307692,0.040137043345526965,0.9402012072434607,0.018834717629446895,0.9730393162393163,0.016847252736191292,1.0,0.0
24,100,0.5,3,5,gini,,0.9332583659549858,0.019035109562874363,0.9546893737696758,0.012378357316251466,0.9118273581402958,0.025770569189376986,0.8652307692307692,0.040137043345526965,0.9401609657947686,0.016690550167626016,0.9722119658119658,0.018865134461982583,1.0,0.0
25,100,1.5,3,2,gini,balanced,0.933189335839973,0.021749319908081582,0.9547422239463659,0.013976594530950032,0.91163644773358,0.02956531544257852,0.8649230769230769,0.04119401346751892,0.9401609657947686,0.018979123213659386,0.9742700854700855,0.017189852381870905,1.0,0.0
26,100,1.0,3,1,gini,balanced,0.9331127982589639,0.011936888673953431,0.9548780787874314,0.007771137225237455,0.9113475177304965,0.016133777540535233,0.8575384615384616,0.029345523735547975,0.9402012072434609,0.010480869667986725,0.9684102564102564,0.021297230024600038,1.0,0.0
27,25,0.5,2,1,entropy,,0.9330802452925357,0.028399308087902135,0.9547790557416305,0.01803987046704006,0.911381434843441,0.03886891163436407,0.8649230769230769,0.054561403442013205,0.9401609657947686,0.024598883656437292,0.963497435897436,0.020150804378156,0.9756589807678161,0.008068881537891974
27,25,0.5,2,2,entropy,,0.9330802452925357,0.028399308087902135,0.9547790557416305,0.01803987046704006,0.911381434843441,0.03886891163436407,0.8649230769230769,0.054561403442013205,0.9401609657947686,0.024598883656437292,0.963497435897436,0.020150804378156,0.9756589807678161,0.008068881537891974
27,25,0.5,2,5,entropy,,0.9330802452925357,0.028399308087902135,0.9547790557416305,0.01803987046704006,0.911381434843441,0.03886891163436407,0.8649230769230769,0.054561403442013205,0.9401609657947686,0.024598883656437292,0.9618974358974359,0.019027992267611517,0.9756244446340178,0.008116109993343171
30,200,0.1,2,1,entropy,,0.9330385954267264,0.018748815787943143,0.9548313279692922,0.012600564962291791,0.9112458628841609,0.025030694010138837,0.8569230769230769,0.032737073423434786,0.9401609657947686,0.016690550167626016,0.9574700854700854,0.02365029266307636,0.9780413290554334,0.0032427017675631395
30,200,0.1,2,2,entropy,,0.9330385954267264,0.018748815787943143,0.9548313279692922,0.012600564962291791,0.9112458628841609,0.025030694010138837,0.8569230769230769,0.032737073423434786,0.9401609657947686,0.016690550167626016,0.9580034188034189,0.023348616265438566,0.9780413290554334,0.0032427017675631395
