seed,best_threshold,iter45_train_accuracy,iter45_train_macro_f1,iter45_train_b_recall,iter45_train_b_f1,iter45_train_g_recall,iter45_train_g_f1,iter45_train_roc_auc,iter45_test_accuracy,iter45_test_macro_f1,iter45_test_b_recall,iter45_test_b_f1,iter45_test_g_recall,iter45_test_g_f1,iter45_test_roc_auc,iter6_train_accuracy,iter6_train_macro_f1,iter6_train_b_recall,iter6_train_b_f1,iter6_train_g_recall,iter6_train_g_f1,iter6_train_roc_auc,iter6_test_accuracy,iter6_test_macro_f1,iter6_test_b_recall,iter6_test_b_f1,iter6_test_g_recall,iter6_test_g_f1,iter6_test_roc_auc
10,0.20552027691035868,0.9857142857142858,0.9844444444444445,0.9702970297029703,0.98,0.994413407821229,0.9888888888888889,0.9950771613474196,0.971830985915493,0.9696581196581197,1.0,0.9615384615384616,0.9565217391304348,0.9777777777777777,0.988695652173913,0.9857142857142858,0.9845124177222191,0.9801980198019802,0.9801980198019802,0.9888268156424581,0.9888268156424581,0.9950771613474196,0.9295774647887324,0.9258098223615465,1.0,0.9090909090909091,0.8913043478260869,0.9425287356321839,0.988695652173913
11,0.17646445056118876,0.9857142857142858,0.9845781009032826,0.9900990099009901,0.9803921568627451,0.9832402234636871,0.9887640449438202,0.9991703080922617,0.9436619718309859,0.9382608695652175,0.92,0.92,0.9565217391304348,0.9565217391304348,0.9756521739130435,0.9785714285714285,0.9769623169326971,0.9900990099009901,0.970873786407767,0.9720670391061452,0.9830508474576272,0.9991703080922617,0.9577464788732394,0.9541047188106011,0.96,0.9411764705882353,0.9565217391304348,0.967032967032967,0.9756521739130435
12,0.2489184311836553,0.9928571428571429,0.9922222222222222,0.9801980198019802,0.99,1.0,0.9944444444444445,0.9958515404613086,0.9295774647887324,0.9247403010387958,0.96,0.9056603773584906,0.9130434782608695,0.9438202247191011,0.991304347826087,0.9857142857142858,0.9845124177222191,0.9801980198019802,0.9801980198019802,0.9888268156424581,0.9888268156424581,0.9958515404613086,0.9154929577464789,0.9103535353535352,0.96,0.8888888888888888,0.8913043478260869,0.9318181818181818,0.991304347826087
13,0.0,0.9821428571428571,0.9805984007538907,0.9702970297029703,0.9751243781094527,0.9888268156424581,0.9860724233983287,0.9959621660490071,0.9295774647887324,0.9220978714066272,0.88,0.8979591836734694,0.9565217391304348,0.946236559139785,0.9791304347826087,0.9821428571428571,0.9805984007538907,0.9702970297029703,0.9751243781094527,0.9888268156424581,0.9860724233983287,0.9959621660490071,0.9295774647887324,0.9220978714066272,0.88,0.8979591836734694,0.9565217391304348,0.946236559139785,0.9791304347826087
14,0.0,0.9821428571428571,0.9806819279435912,0.9801980198019802,0.9753694581280788,0.9832402234636871,0.9859943977591037,0.9992809336799602,0.9436619718309859,0.9356884057971014,0.84,0.9130434782608695,1.0,0.9583333333333334,0.971304347826087,0.9821428571428571,0.9806819279435912,0.9801980198019802,0.9753694581280788,0.9832402234636871,0.9859943977591037,0.9992809336799602,0.9436619718309859,0.9356884057971014,0.84,0.9130434782608695,1.0,0.9583333333333334,0.971304347826087
15,-0.1193390552966958,0.9857142857142858,0.9845124177222191,0.9801980198019802,0.9801980198019802,0.9888268156424581,0.9888268156424581,0.9992809336799602,0.9154929577464789,0.9035326086956521,0.8,0.8695652173913043,0.9782608695652174,0.9375,0.9782608695652173,0.9892857142857143,0.9883590404523344,0.9801980198019802,0.9850746268656716,0.994413407821229,0.9916434540389972,0.9992809336799602,0.9154929577464789,0.9035326086956521,0.8,0.8695652173913043,0.9782608695652174,0.9375,0.9782608695652173
16,-0.07091345364651969,0.9821428571428571,0.9806819279435912,0.9801980198019802,0.9753694581280788,0.9832402234636871,0.9859943977591037,0.9946899717904751,0.9577464788732394,0.9532587228439764,0.92,0.9387755102040817,0.9782608695652174,0.967741935483871,0.9869565217391304,0.9892857142857143,0.9883590404523344,0.9801980198019802,0.9850746268656716,0.994413407821229,0.9916434540389972,0.9946899717904751,0.9577464788732394,0.9532587228439764,0.92,0.9387755102040817,0.9782608695652174,0.967741935483871,0.9869565217391304
17,0.32053079525799744,0.9821428571428571,0.9805984007538907,0.9702970297029703,0.9751243781094527,0.9888268156424581,0.9860724233983287,0.9950218485535705,0.9295774647887324,0.9220978714066272,0.88,0.8979591836734694,0.9565217391304348,0.946236559139785,0.9756521739130435,0.9821428571428571,0.9807626245276537,0.9900990099009901,0.975609756097561,0.9776536312849162,0.9859154929577465,0.9950218485535705,0.9014084507042254,0.8946364214543142,0.92,0.8679245283018868,0.8913043478260869,0.9213483146067416,0.9756521739130435
18,0.27644127115759476,0.9892857142857143,0.9883590404523344,0.9801980198019802,0.9850746268656716,0.994413407821229,0.9916434540389972,0.9966812323690469,0.9295774647887324,0.9235078646843353,0.92,0.9019607843137255,0.9347826086956522,0.945054945054945,0.9669565217391305,0.9821428571428571,0.9806819279435912,0.9801980198019802,0.9753694581280788,0.9832402234636871,0.9859943977591037,0.9966812323690469,0.9154929577464789,0.9103535353535352,0.96,0.8888888888888888,0.8913043478260869,0.9318181818181818,0.9669565217391305
19,-0.08796623136005721,0.9857142857142858,0.9845124177222191,0.9801980198019802,0.9801980198019802,0.9888268156424581,0.9888268156424581,0.9991703080922617,0.9295774647887324,0.9204927211646137,0.84,0.8936170212765957,0.9782608695652174,0.9473684210526315,0.9747826086956523,0.9857142857142858,0.9845124177222191,0.9801980198019802,0.9801980198019802,0.9888268156424581,0.9888268156424581,0.9991703080922617,0.9295774647887324,0.9204927211646137,0.84,0.8936170212765957,0.9782608695652174,0.9473684210526315,0.9747826086956523
