rank_test_macro_f1,param_n_estimators,param_criterion,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_ccp_alpha,param_max_samples,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
17,300,entropy,0.3,16,4,2,0.0,,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9749743589743589,0.014060686851966684,0.9796683315678655,0.006759368805848886
17,200,log_loss,0.3,16,1,2,0.001,1.0,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9771213675213675,0.014109719396911004,1.0,0.0
17,300,entropy,0.3,16,1,4,0.001,1.0,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9769299145299145,0.014547792319721543,0.9992254792519397,0.0015490414961204734
27,200,gini,0.3,,1,4,0.0,0.8,0.9369110073762108,0.03147327407412111,0.9565176291684006,0.021935289958626543,0.9173043855840207,0.041044885370519535,0.8809230769230769,0.043856678898699895,0.9430181086519115,0.02857324221296189,0.9737641025641025,0.012887856858634422,0.9968934721910312,0.00290486276662797
28,300,entropy,0.3,16,1,8,0.001,,0.9368789149405743,0.028234261839437367,0.9564698508597527,0.019663650203455358,0.9172879790213958,0.03685015554229345,0.8806153846153846,0.036479385440686636,0.9429778672032194,0.025623598283447496,0.976574358974359,0.01424807643439997,0.9937902883136923,0.0031049666470687734
29,200,log_loss,0.3,32,4,4,0.0,,0.9367097157472493,0.028132878822609536,0.9566116445499334,0.01974171035068054,0.9168077869445652,0.03655015967760137,0.8729230769230769,0.0302353686068634,0.9429778672032194,0.025623598283447496,0.9738871794871795,0.015227281344951318,0.9804498293494541,0.007853043766059862
29,200,entropy,0.3,16,4,4,0.001,,0.9367097157472493,0.028132878822609536,0.9566116445499334,0.01974171035068054,0.9168077869445652,0.03655015967760137,0.8729230769230769,0.0302353686068634,0.9429778672032194,0.025623598283447496,0.9738871794871795,0.015227281344951318,0.9804498293494541,0.007853043766059862
29,200,log_loss,0.3,16,4,2,0.001,,0.9367097157472493,0.028132878822609536,0.9566116445499334,0.01974171035068054,0.9168077869445652,0.03655015967760137,0.8729230769230769,0.0302353686068634,0.9429778672032194,0.025623598283447496,0.9738871794871795,0.015227281344951318,0.9804498293494541,0.007853043766059862
29,100,entropy,0.5,32,2,4,0.001,1.0,0.9367097157472493,0.028132878822609536,0.9566116445499334,0.01974171035068054,0.9168077869445652,0.03655015967760137,0.8729230769230769,0.0302353686068634,0.9429778672032194,0.025623598283447496,0.9763897435897437,0.01468974495730467,0.9984509585038795,0.001897180627946304
29,200,log_loss,0.3,16,4,8,0.001,,0.9367097157472493,0.028132878822609536,0.9566116445499334,0.01974171035068054,0.9168077869445652,0.03655015967760137,0.8729230769230769,0.0302353686068634,0.9429778672032194,0.025623598283447496,0.9738871794871795,0.015227281344951318,0.9804498293494541,0.007853043766059862
