candidate_id,params,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_f1_g_mean,test_f1_g_std,test_f1_b_mean,test_f1_b_std,test_recall_b_mean,test_recall_b_std,test_roc_auc_mean,test_roc_auc_std,cv_rank_macro_f1,cv_mean_macro_f1,cv_mean_accuracy,cv_mean_f1_g,cv_mean_recall_b,cv_mean_roc_auc,cv_mean_train_macro_f1
13,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 16, 'max_features': 0.5, 'criterion': 'log_loss', 'ccp_alpha': 0.001}",0.9352112676056338,0.018896349105632,0.9275547550479667,0.021476573178807058,0.9510191435145181,0.014121323397422954,0.9040903665814153,0.029094811958535374,0.8719999999999999,0.059329587896765276,0.9711304347826089,0.009941226147497567,13,0.9428403409825631,0.948651911468813,0.9610565684899486,0.8806153846153846,0.9755076923076924,0.9953528755116385
9,"{'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 16, 'max_features': 0.5, 'criterion': 'log_loss', 'ccp_alpha': 0.0}",0.9352112676056338,0.023567888071382423,0.9275207613158706,0.026703556045078302,0.951071741564828,0.017629043944109114,0.9039697810669134,0.03593744697040836,0.8719999999999999,0.059329587896765276,0.972695652173913,0.009497786031939577,4,0.9430849204196889,0.948651911468813,0.960865455255357,0.8886153846153846,0.9762188034188034,1.0
5,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': None, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'log_loss', 'ccp_alpha': 0.001}",0.9352112676056338,0.023567888071382423,0.9275207613158706,0.026703556045078302,0.951071741564828,0.017629043944109114,0.9039697810669134,0.03593744697040836,0.8719999999999999,0.059329587896765276,0.9718260869565217,0.009337203266466877,4,0.9430849204196889,0.948651911468813,0.960865455255357,0.8886153846153846,0.9776341880341881,1.0
10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'entropy', 'ccp_alpha': 0.0}",0.9352112676056338,0.023567888071382423,0.9275207613158706,0.026703556045078302,0.951071741564828,0.017629043944109114,0.9039697810669134,0.03593744697040836,0.8719999999999999,0.059329587896765276,0.9718260869565217,0.009337203266466877,4,0.9430849204196889,0.948651911468813,0.960865455255357,0.8886153846153846,0.9776341880341881,1.0
7,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'entropy', 'ccp_alpha': 0.001}",0.9352112676056338,0.023567888071382423,0.9275207613158706,0.026703556045078302,0.951071741564828,0.017629043944109114,0.9039697810669134,0.03593744697040836,0.8719999999999999,0.059329587896765276,0.9717391304347827,0.009589889130483798,4,0.9430849204196889,0.948651911468813,0.960865455255357,0.8886153846153846,0.9781675213675213,1.0
6,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 16, 'max_features': 0.5, 'criterion': 'log_loss', 'ccp_alpha': 0.001}",0.9352112676056338,0.023567888071382423,0.9275207613158706,0.026703556045078302,0.951071741564828,0.017629043944109114,0.9039697810669134,0.03593744697040836,0.8719999999999999,0.059329587896765276,0.9716521739130435,0.009616463513703856,4,0.9430849204196889,0.948651911468813,0.960865455255357,0.8886153846153846,0.9783452991452991,1.0
1,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'entropy', 'ccp_alpha': 0.001}",0.9352112676056338,0.023567888071382423,0.9275207613158706,0.026703556045078302,0.951071741564828,0.017629043944109114,0.9039697810669134,0.03593744697040836,0.8719999999999999,0.059329587896765276,0.9709565217391305,0.009377606757942893,1,0.9460412032672763,0.9515090543259559,0.9632065923791029,0.8886153846153846,0.9749743589743591,0.9945749100718535
2,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'entropy', 'ccp_alpha': 0.0}",0.9352112676056338,0.023567888071382423,0.9275207613158706,0.026703556045078302,0.951071741564828,0.017629043944109114,0.9039697810669134,0.03593744697040836,0.8719999999999999,0.059329587896765276,0.9709565217391305,0.009377606757942893,1,0.9460412032672763,0.9515090543259559,0.9632065923791029,0.8886153846153846,0.9749743589743591,0.9945749100718535
3,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'log_loss', 'ccp_alpha': 0.001}",0.9352112676056338,0.023567888071382423,0.9275207613158706,0.026703556045078302,0.951071741564828,0.017629043944109114,0.9039697810669134,0.03593744697040836,0.8719999999999999,0.059329587896765276,0.9709565217391305,0.009377606757942893,1,0.9460412032672763,0.9515090543259559,0.9632065923791029,0.8886153846153846,0.9749743589743591,0.9945749100718535
17,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_samples': None, 'max_leaf_nodes': 16, 'max_features': 0.3, 'criterion': 'log_loss', 'ccp_alpha': 0.001}",0.932394366197183,0.027092090227706124,0.9242299044401611,0.030542372288406807,0.9490614563848372,0.020318807270907603,0.8993983524954847,0.04086478001555519,0.8639999999999999,0.06066300355241239,0.9704347826086958,0.012556112241907499,17,0.9396659985948365,0.9458350100603623,0.9589527816736793,0.8729230769230769,0.9749743589743589,0.9796683315678655
20,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_samples': None, 'max_leaf_nodes': 32, 'max_features': 0.3, 'criterion': 'log_loss', 'ccp_alpha': 0.0}",0.932394366197183,0.027092090227706124,0.9242299044401611,0.030542372288406807,0.9490614563848372,0.020318807270907603,0.8993983524954847,0.04086478001555519,0.8639999999999999,0.06066300355241239,0.9704347826086958,0.012556112241907499,17,0.9396659985948365,0.9458350100603623,0.9589527816736793,0.8729230769230769,0.9749743589743589,0.9796683315678655
22,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_samples': 1.0, 'max_leaf_nodes': 16, 'max_features': 0.3, 'criterion': 'entropy', 'ccp_alpha': 0.001}",0.932394366197183,0.027092090227706124,0.9242299044401611,0.030542372288406807,0.9490614563848372,0.020318807270907603,0.8993983524954847,0.04086478001555519,0.8639999999999999,0.06066300355241239,0.9704347826086958,0.012556112241907499,17,0.9396659985948365,0.9458350100603623,0.9589527816736793,0.8729230769230769,0.9749743589743589,0.9796683315678655
24,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_samples': None, 'max_leaf_nodes': 16, 'max_features': 0.3, 'criterion': 'entropy', 'ccp_alpha': 0.0}",0.932394366197183,0.027092090227706124,0.9242299044401611,0.030542372288406807,0.9490614563848372,0.020318807270907603,0.8993983524954847,0.04086478001555519,0.8639999999999999,0.06066300355241239,0.9704347826086958,0.012556112241907499,17,0.9396659985948365,0.9458350100603623,0.9589527816736793,0.8729230769230769,0.9749743589743589,0.9796683315678655
