rank_test_macro_f1,param_max_depth,param_min_samples_leaf,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
25,5,5,0.8671322163430599,0.04966493838558121,0.8258959512248548,0.07113771705234065,0.8092307692307692,0.10592841168622734,0.8803219315895372,0.04105759894368803,0.9149880341880342,0.03516805675108594,0.9438052114993709,0.0042066544002944935
26,3,8,0.8661590803996619,0.05484105828475683,0.8235113122171945,0.08131938591315002,0.8089230769230769,0.12550829200075483,0.8802414486921529,0.04314727837088998,0.9048717948717948,0.03505712108291625,0.9085010323569858,0.006683769944194552
26,3,10,0.8661590803996619,0.05484105828475683,0.8235113122171945,0.08131938591315002,0.8089230769230769,0.12550829200075483,0.8802414486921529,0.04314727837088998,0.9046940170940172,0.03524764041147529,0.9066964878616144,0.00448668337225435
28,4,8,0.8655435505529672,0.025395448362843517,0.82562247409218,0.03339351873665123,0.8092307692307692,0.047548169285124564,0.8775050301810865,0.0231335485173731,0.9053367521367521,0.04008913204711882,0.9258511251302461,0.011835114861384558
29,6,5,0.864188641399485,0.047540267885735905,0.8224641237930275,0.06863881444995223,0.8089230769230769,0.10617123603380883,0.8774647887323944,0.03904229416903359,0.8946051282051283,0.03370414757686967,0.9516037502812369,0.01065636205689469
30,3,5,0.8637249516080658,0.052856614589058416,0.8215049944506104,0.07915491023775222,0.8169230769230769,0.1284739745247165,0.8774245472837021,0.041168280435117874,0.9076649572649572,0.030281779117829567,0.9132383522966293,0.007119011336139984
31,4,3,0.8616148022717105,0.05093507440081587,0.8150269954592424,0.07133229217286186,0.7618461538461538,0.08771335779739979,0.8774647887323944,0.043021289453318935,0.9129777777777777,0.03304276316428251,0.9300052528319547,0.010655107488251808
32,4,1,0.860919481643063,0.051419973301297855,0.8131164440046181,0.0724837530800852,0.7538461538461538,0.08932620890664249,0.8774647887323944,0.043021289453318935,0.9043042735042734,0.03871673196707015,0.9322085923507079,0.008126656117401015
32,4,2,0.860919481643063,0.051419973301297855,0.8131164440046181,0.0724837530800852,0.7538461538461538,0.08932620890664249,0.8774647887323944,0.043021289453318935,0.9043042735042734,0.03871673196707015,0.9322085923507079,0.008126656117401015
34,8,5,0.8608654893962088,0.043855384656793846,0.8178722870583336,0.06404923675574484,0.8009230769230768,0.10193674799460682,0.8746076458752515,0.035565655529857805,0.8941606837606837,0.03324898660023024,0.9516037502812369,0.01065636205689469
34,,5,0.8608654893962088,0.043855384656793846,0.8178722870583336,0.06404923675574484,0.8009230769230768,0.10193674799460682,0.8746076458752515,0.035565655529857805,0.8941606837606837,0.03324898660023024,0.9516037502812369,0.01065636205689469
36,4,5,0.8599474434336842,0.031023876165183803,0.814857914180165,0.041313969048554854,0.7698461538461538,0.05291592080419853,0.8746076458752515,0.027840975825232078,0.9078222222222223,0.028590734923341667,0.9301896392229085,0.0108104315324992
37,4,10,0.8400091581676051,0.04695687430921279,0.7876759633476959,0.06949780003242512,0.7535384615384615,0.10626927948995235,0.8575452716297788,0.03726127818148422,0.9028923076923079,0.03896495673064032,0.9169422641667412,0.009228000677851091
38,5,10,0.8336260285608112,0.047590344791971405,0.7792051282051282,0.07020578374326376,0.7455384615384615,0.10698492953649588,0.8518309859154931,0.03797343105728478,0.909025641025641,0.03220054043937187,0.9154316612353499,0.007402815557776036
38,6,10,0.8336260285608112,0.047590344791971405,0.7792051282051282,0.07020578374326376,0.7455384615384615,0.10698492953649588,0.8518309859154931,0.03797343105728478,0.909025641025641,0.03220054043937187,0.9154316612353499,0.007402815557776036
38,7,10,0.8336260285608112,0.047590344791971405,0.7792051282051282,0.07020578374326376,0.7455384615384615,0.10698492953649588,0.8518309859154931,0.03797343105728478,0.909025641025641,0.03220054043937187,0.9154316612353499,0.007402815557776036
38,8,10,0.8336260285608112,0.047590344791971405,0.7792051282051282,0.07020578374326376,0.7455384615384615,0.10698492953649588,0.8518309859154931,0.03797343105728478,0.909025641025641,0.03220054043937187,0.9154316612353499,0.007402815557776036
38,,10,0.8336260285608112,0.047590344791971405,0.7792051282051282,0.07020578374326376,0.7455384615384615,0.10698492953649588,0.8518309859154931,0.03797343105728478,0.909025641025641,0.03220054043937187,0.9154316612353499,0.007402815557776036
