threshold,accuracy,macro_f1,f1_g,f1_b,recall_g,recall_b,precision_g,precision_b,accuracy_std,macro_f1_std,f1_g_std,f1_b_std,recall_g_std,recall_b_std,precision_g_std,precision_b_std
0.44,0.9464788732394366,0.9402247284059742,0.9595491818083299,0.9209002750036184,0.9782608695652174,0.8879999999999999,0.9416521927920105,0.9568511198945983,0.023143206655147876,0.025938348964569792,0.017438575977778308,0.03446453214133839,0.015371886547533633,0.04381780460041328,0.022254169725785974,0.029504869139076028
0.46,0.9464788732394366,0.9404797037910386,0.9593675708473836,0.9215918367346939,0.9739130434782609,0.8960000000000001,0.945386216466235,0.9492463768115942,0.01542880443676526,0.01727647418476886,0.01162377078199207,0.02294810012138033,0.00972203468478168,0.0357770876399966,0.018386508443957696,0.0182747819098952
0.48,0.9464788732394366,0.9404797037910386,0.9593675708473836,0.9215918367346939,0.9739130434782609,0.8960000000000001,0.945386216466235,0.9492463768115942,0.01542880443676526,0.01727647418476886,0.01162377078199207,0.02294810012138033,0.00972203468478168,0.0357770876399966,0.018386508443957696,0.0182747819098952
0.5,0.9464788732394366,0.9404797037910386,0.9593675708473836,0.9215918367346939,0.9739130434782609,0.8960000000000001,0.945386216466235,0.9492463768115942,0.01542880443676526,0.01727647418476886,0.01162377078199207,0.02294810012138033,0.00972203468478168,0.0357770876399966,0.018386508443957696,0.0182747819098952
0.52,0.9464788732394366,0.9404797037910386,0.9593675708473836,0.9215918367346939,0.9739130434782609,0.8960000000000001,0.945386216466235,0.9492463768115942,0.01542880443676526,0.01727647418476886,0.01162377078199207,0.02294810012138033,0.00972203468478168,0.0357770876399966,0.018386508443957696,0.0182747819098952
0.54,0.9408450704225352,0.9344827873602322,0.9548799404667628,0.9140856342537015,0.9652173913043478,0.8960000000000001,0.9450236406619386,0.9338907469342252,0.01178394403569119,0.013276322154078132,0.0088075217762334,0.017800011843896235,0.011907012119677526,0.0357770876399966,0.018322187416093476,0.020824266398322185
0.56,0.9408450704225352,0.9344827873602322,0.9548799404667628,0.9140856342537015,0.9652173913043478,0.8960000000000001,0.9450236406619386,0.9338907469342252,0.01178394403569119,0.013276322154078132,0.0088075217762334,0.017800011843896235,0.011907012119677526,0.0357770876399966,0.018322187416093476,0.020824266398322185
0.58,0.9352112676056338,0.9287905271073799,0.9501620866277248,0.9074189675870349,0.9521739130434783,0.9039999999999999,0.948284510227156,0.9112820512820512,0.01605880880421319,0.01787460281535504,0.012169836268243936,0.023604163787209823,0.00972203468478168,0.035777087639996624,0.018798394357901933,0.017689520404745328
0.6,0.9267605633802816,0.9199861714743797,0.9432321083933987,0.8967402345553607,0.9391304347826088,0.9039999999999999,0.9477004083387062,0.8905982905982907,0.015428804436765219,0.016793129083703767,0.012036143767518973,0.021676694182449576,0.018188261446392958,0.035777087639996624,0.01876518750929175,0.02903939704033241
0.62,0.923943661971831,0.9170448580626195,0.9409413183045722,0.8931483978206668,0.9347826086956521,0.9039999999999999,0.9474228875246451,0.8832649572649572,0.01605880880421319,0.017599371551907977,0.012405681680876846,0.022878808115209145,0.015371886547533666,0.035777087639996624,0.018987285862496123,0.025184424580179075
0.64,0.923943661971831,0.9172543875660757,0.9407474970360074,0.8937612780961441,0.9304347826086957,0.9120000000000001,0.9516784869976359,0.8772893772893774,0.02356788807138238,0.025791267234150147,0.018205155859006072,0.03343833600345853,0.018188261446392996,0.052153619241621194,0.028563946571767453,0.03076296159751065
0.66,0.9183098591549296,0.9114919800389624,0.9360100122985227,0.8869739477794021,0.9217391304347826,0.9120000000000001,0.9511734364925853,0.8644688644688644,0.02709209022770608,0.029254212955414284,0.021307122593357323,0.037292859942433705,0.024786422284763902,0.052153619241621194,0.028781051475439065,0.04028231142336369
0.68,0.9154929577464788,0.9085702819614448,0.9336606762413215,0.8834798876815684,0.917391304347826,0.9120000000000001,0.9511734364925853,0.8583112290008842,0.022269560987101235,0.02412126595274832,0.01742794212948403,0.03096679837338335,0.023814024239355094,0.052153619241621194,0.028781051475439065,0.03708416524198835
0.7,0.904225352112676,0.897223463405324,0.9238486020106425,0.8705983248000054,0.9,0.9120000000000001,0.9505240858432348,0.8359489334461525,0.027092090227706134,0.02808590053125349,0.022570189334992052,0.033963298950067146,0.04237736671656072,0.052153619241621194,0.02935776001909652,0.058570779234310796
0.72,0.9014084507042254,0.894355875901315,0.9214515982653243,0.867260153537306,0.8956521739130434,0.9120000000000001,0.9503126693527486,0.8298642773614965,0.026349699906858755,0.027307348752314074,0.021938647181017547,0.03304911869943129,0.041816052307981216,0.052153619241621194,0.029325349083279013,0.05808392122915354
0.74,0.8985915492957746,0.8918679498839772,0.9186543954681214,0.8650815042998332,0.8869565217391304,0.9199999999999999,0.9541221931622724,0.8192541977858996,0.02709209022770612,0.028029037985931076,0.0225623591364721,0.0337723054417959,0.04181605230798123,0.04898979485566353,0.027763834300095325,0.05919904387327152
0.76,0.895774647887324,0.8897577729991586,0.9151859213977321,0.8643296246005849,0.8739130434782609,0.9359999999999999,0.9629317169717961,0.8070948540706604,0.025585777640260498,0.025348713627701337,0.02272449477544351,0.02829084013041026,0.05190146254918838,0.045607017003965494,0.02496139637322532,0.06746783213374433
0.78,0.8901408450704226,0.8846388037033469,0.90918367054763,0.8600939368590638,0.8565217391304347,0.952,0.9726541961577351,0.789496718335428,0.02089069996364976,0.019129483644153324,0.02119603804404141,0.01722141851640506,0.05873589602654911,0.05215361924162119,0.028734451100566213,0.06348290539679348
0.8,0.8873239436619718,0.8818875585224069,0.9064134206229084,0.8573616964219053,0.8521739130434783,0.952,0.9726541961577351,0.785528464367174,0.02634969990685875,0.024553813693129405,0.026519276368382548,0.02273090302735053,0.06593804733957868,0.05215361924162119,0.028734451100566213,0.0696775099195763
0.82,0.8845070422535212,0.8794623645368622,0.9032840593776053,0.8556406696961192,0.8434782608695652,0.96,0.9766067653276955,0.7761450809837906,0.032117617608426414,0.03061359234499838,0.03195421378347591,0.029383541946822366,0.06770613696694538,0.04,0.023012116867363916,0.06749970243713309
0.84,0.8704225352112676,0.8656540355229561,0.8904816040289412,0.8408264670169711,0.8173913043478261,0.968,0.9801156973108192,0.7448223296610393,0.023143206655147876,0.022316885611030665,0.023263942430482052,0.021912616808734603,0.045079220333321124,0.033466401061363046,0.020524806449944814,0.039719521333205283
0.86,0.8676056338028169,0.863225329558885,0.887294426876943,0.8391562322408271,0.808695652173913,0.976,0.9847368421052632,0.7373259234739311,0.023567888071382413,0.022661494561682143,0.02358035015307053,0.021905525102897425,0.04455195985199826,0.021908902300206676,0.013943643991304166,0.04069518268738959
0.88,0.828169014084507,0.8249589258009526,0.8479630079521463,0.8019548436497589,0.7434782608695653,0.984,0.989039039039039,0.6777554179566564,0.027092090227706114,0.026091770818667863,0.028740127039986903,0.02378506485197187,0.047129311714519166,0.021908902300206656,0.015011260791924698,0.036628238340148916
0.9,0.8084507042253521,0.8057866378792309,0.8274021726542051,0.7841711031042566,0.7130434782608696,0.984,0.9887301587301588,0.6528640728640729,0.02920625542722215,0.02801759950486804,0.032853720590505155,0.023449253455554316,0.05190146254918836,0.021908902300206656,0.015434416555597146,0.036231612814505265
