rank_test_macro_f1,param_n_estimators,param_criterion,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_max_samples,param_max_leaf_nodes,param_min_impurity_decrease,param_ccp_alpha,param_class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
44,100,entropy,12,12,1,sqrt,True,,64,0.005,0.0,balanced_subsample,0.9254732677404126,0.03880092373913549,0.9466751912948169,0.029679804003451306,0.9042713441860084,0.04808776647590417,0.8889230769230769,0.03904662665652998,0.9315895372233399,0.03664093842027744,0.978174358974359,0.01429883376163247,0.9837636099127567,0.0028636130339995945
45,200,entropy,12,20,4,0.3,True,1.0,,0.001,0.0,balanced_subsample,0.9252074304976585,0.042133957795619924,0.9468034164174858,0.03035076530146581,0.9036114445778312,0.053981670503578945,0.8963076923076922,0.054623834665917304,0.9314688128772637,0.03881257998891073,0.9714051282051281,0.01839590231554484,0.9597612630351744,0.008672685896160354
45,500,entropy,5,20,2,0.3,True,0.8,32,0.0,0.005,balanced_subsample,0.9252074304976585,0.042133957795619924,0.9468034164174858,0.03035076530146581,0.9036114445778312,0.053981670503578945,0.8963076923076922,0.054623834665917304,0.9314688128772637,0.03881257998891073,0.9717675213675214,0.015329853534192505,0.9491866079701141,0.007724425838097931
47,500,log_loss,16,20,2,log2,True,0.6,32,0.001,0.0,balanced_subsample,0.9250726114967509,0.020660046083911077,0.947045668277999,0.015079004710199545,0.9030995547155033,0.02638295131975014,0.8886153846153846,0.03060881259186683,0.9315492957746481,0.019116763627656484,0.9696615384615385,0.014875772726678558,0.9547536373224871,0.005805490040132372
48,200,log_loss,10,8,2,log2,False,,8,0.005,0.01,balanced,0.9249895063934158,0.03356972445812983,0.9471518819344906,0.0236200604028607,0.902827130852341,0.04355388230020637,0.8886153846153846,0.04708396126372573,0.9315492957746478,0.03060848286054476,0.9723145299145299,0.013929707172426939,0.9626406089297641,0.010402375658240733
49,500,entropy,4,20,1,0.3,True,1.0,16,0.001,0.005,balanced,0.9248260985932552,0.04465618941699537,0.9470864900525932,0.031747492630208395,0.9025657071339174,0.05769881064213599,0.8883076923076922,0.06434816540145137,0.9314688128772637,0.0408617384789003,0.9712341880341879,0.015312478170674142,0.9545081844459758,0.008763688030406998
50,100,log_loss,12,8,4,0.7,True,,16,0.005,0.0,balanced,0.9247753625522297,0.03403882807775583,0.9473187684920275,0.025406713213668972,0.9022319566124322,0.04276715779719914,0.8732307692307693,0.04586163909879805,0.93158953722334,0.03187519029078361,0.9717743589743589,0.01666163027125731,0.9844141018117749,0.00783196114414697
51,300,entropy,10,12,1,0.5,True,,,0.0,0.0,balanced_subsample,0.9246387948653594,0.03015332614235361,0.9474749197265467,0.02166886897952693,0.9018026700041718,0.038704820639544404,0.8732307692307693,0.04586163909879805,0.93158953722334,0.02776922391587481,0.973025641025641,0.014540103014103781,0.9853010175243899,0.0015668119157201674
52,300,entropy,,8,4,sqrt,True,0.8,8,0.001,0.001,balanced_subsample,0.9241529121524816,0.029332420660196576,0.947820949503979,0.019935170982636086,0.9004848748009842,0.038768972367238905,0.8649230769230769,0.04119401346751892,0.9315492957746478,0.02630553675256576,0.9701880341880342,0.016481781448956644,0.9602029120047696,0.009791510337906673
53,500,gini,4,20,2,log2,True,1.0,64,0.001,0.005,,0.9239577503554408,0.02340355749488969,0.9480065099175242,0.016100232977723547,0.8999089907933572,0.03081892711386969,0.8569230769230769,0.032737073423434786,0.93158953722334,0.021085520734501532,0.9703863247863248,0.014832980491091672,0.9491943894005928,0.004640720673708831
