rank_test_macro_f1,param_classifier__C,param_classifier__gamma,param_classifier__class_weight,param_pca__n_components,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
21,1.0,0.01,balanced,0.99,0.9302033992493481,0.026036528941026035,0.9080582164410631,0.03449249807749949,0.8649230769230769,0.04119401346751892,0.9372635814889335,0.023316577397167065,0.9800136752136753,0.006083994827423908,0.9513107052469566,0.006878721644858554
22,10.0,0.1,balanced,,0.9294714498751766,0.01780713090150486,0.9109419152276296,0.021393818893340095,0.928923076923077,0.04572518889417827,0.9344466800804829,0.017226160471601196,0.9746119658119659,0.02288541594839345,0.9969120206955997,0.0028907677172463164
23,1.0,0.1,balanced,0.9,0.9292407374351619,0.018054413479420325,0.9101482644339786,0.0221115580875647,0.9209230769230767,0.034778759756171784,0.9344466800804829,0.017226160471601196,0.9794324786324786,0.01664017846912279,0.9837695549857971,0.004514997569030333
24,10.0,0.1,balanced,0.95,0.9288742350112514,0.01586969793015061,0.908959206324039,0.020641558291172913,0.9132307692307691,0.04477531018727691,0.9344869215291751,0.014495079303840705,0.9728410256410257,0.020795427606470688,0.9945819729440595,0.0030996266889432513
25,1.0,0.03,balanced,0.9,0.9278664661704005,0.024125803033571907,0.9061202648283393,0.03248290964359684,0.8892307692307693,0.06311818537825516,0.934486921529175,0.021330852847654836,0.9762871794871796,0.011981188654877047,0.9571896476572513,0.0025219264681200847
26,3.0,0.03,balanced,0.9,0.9277772105214567,0.02685570393654411,0.9058823529411765,0.03405363614305569,0.8732307692307693,0.02869302948153791,0.9344466800804829,0.024965400394110493,0.9740307692307691,0.013135425364938138,0.9736066833401068,0.0062555273342542505
27,10.0,0.01,balanced,0.95,0.9272725509611479,0.030880583424086987,0.9043855840208422,0.04040068860478959,0.8652307692307692,0.0474445175812834,0.9344869215291751,0.027955963504290148,0.9761230769230769,0.014359586474539403,0.9813326961559005,0.00796594895716802
28,1.0,0.01,balanced,0.95,0.9267058796254346,0.03029926726863012,0.9030340618516911,0.04095717881699139,0.8569230769230769,0.0546965810296344,0.9344064386317907,0.026601089095123185,0.9771965811965811,0.005170334074813215,0.941077527272628,0.007461404140061213
29,3.0,0.1,balanced,0.9,0.9261593436807175,0.021614645989272926,0.9063005565862708,0.02549061308794044,0.912923076923077,0.028988469448157236,0.93158953722334,0.021085520734501532,0.9758974358974358,0.016003213936831063,0.9899263050359727,0.00310080398716561
30,10.0,0.1,balanced,0.9,0.9251076461638309,0.012000616118390966,0.9029839935974391,0.016664264264922138,0.8895384615384616,0.04375726482370752,0.9316700201207244,0.010307311157410024,0.9691418803418804,0.02285354477383407,0.9930244736844402,0.003810791095829059
31,10.0,0.01,balanced,0.9,0.9241967314215234,0.025603016389762534,0.9005797101449275,0.03391864811856654,0.8649230769230769,0.04119401346751892,0.93158953722334,0.0229397436277374,0.9738393162393162,0.014303292934310688,0.9711868827667812,0.010371222290846163
32,3.0,0.01,balanced,,0.9238849467659197,0.030914382209333315,0.8997633836143153,0.040728488111175624,0.8569230769230769,0.04137288938823781,0.9315492957746478,0.027813915885790207,0.9789196581196581,0.00925276518266072,0.9665061984754493,0.007593281092877129
33,1.0,0.01,balanced,0.9,0.9233945243140793,0.033085038938179274,0.8984626332802625,0.04440359749289971,0.8489230769230769,0.05365151635415902,0.9315492957746478,0.029244598987899228,0.9733128205128205,0.0036900024459327638,0.9389031949119848,0.006062519844031943
34,3.0,0.01,balanced,0.9,0.9208063741997694,0.026835748201631326,0.895851818988465,0.03552197641170183,0.8569230769230769,0.04137288938823781,0.928692152917505,0.02404964454957756,0.974345299145299,0.009096371393731187,0.9547842656703684,0.007715545154017207
35,3.0,0.01,balanced,0.95,0.9202673500243701,0.03196257443795644,0.8943031144002467,0.04226049190943856,0.8412307692307692,0.0438868906576626,0.928732394366197,0.028653606985303996,0.976991452991453,0.00819475127296389,0.9618001445256198,0.00973595218421204
36,3.0,0.01,balanced,0.99,0.9172602528522973,0.03255495186959077,0.8905797101449275,0.042971075592008766,0.8412307692307692,0.0438868906576626,0.9258752515090543,0.029233577595537064,0.9767999999999999,0.008302431593838653,0.9657002045942837,0.0057491860141860255
