rank_test_macro_f1,param_classifier__kernel,param_classifier__C,param_classifier__gamma,param_classifier__degree,param_classifier__coef0,param_classifier__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
22,rbf,3.0,0.01,,,balanced,0.9367505390304215,0.026735953801063014,0.9169819076566796,0.03530087587621549,0.8806153846153846,0.036479385440686636,0.9429376257545272,0.024001114643352126,0.9756649572649572,0.018384497689030322,0.9680982919485853,0.003978222375880682
23,rbf,1.0,0.1,,,balanced,0.9358902434759294,0.02554999476137074,0.9196157903720931,0.030485462067070045,0.9443076923076923,0.01985509637526358,0.9400804828973843,0.024681297932211528,0.9817162393162395,0.018399470211241133,0.9830150144804982,0.003962535864643649
24,rbf,30.0,0.03,,,balanced,0.9348848935003868,0.037137428361094356,0.9165479399306893,0.04514883135696584,0.8969230769230769,0.018917447567925436,0.9401207243460764,0.03551535266684967,0.9774427350427353,0.01680155140000475,0.9938074807480749,0.0030963189891199112
25,rbf,30.0,scale,,,,0.9340669940907885,0.026392780395756398,0.9140275259039786,0.033552670444241914,0.8815384615384616,0.041028205048081946,0.9402012072434609,0.0244876407063782,0.975842735042735,0.018192475519685936,0.9945786145654711,0.0030979408815247577
25,rbf,30.0,0.03,,,,0.9340669940907885,0.026392780395756398,0.9140275259039786,0.033552670444241914,0.8815384615384616,0.041028205048081946,0.9402012072434609,0.0244876407063782,0.9761982905982907,0.017770233770815026,0.9945786145654711,0.0030979408815247577
27,rbf,1.0,scale,,,,0.9330074417030149,0.028527040049509508,0.9112358276643991,0.03909849438274337,0.8649230769230769,0.054561403442013205,0.9401207243460764,0.024663313860081935,0.9810188034188034,0.01341221287335816,0.9672393032501038,0.0054239529294551735
27,rbf,1.0,0.03,,,,0.9330074417030149,0.028527040049509508,0.9112358276643991,0.03909849438274337,0.8649230769230769,0.054561403442013205,0.9401207243460764,0.024663313860081935,0.9808410256410257,0.013471536214123524,0.9672393032501038,0.0054239529294551735
29,rbf,0.3,0.1,,,,0.932927455668961,0.022086660567476685,0.9159873433474196,0.02603454485421756,0.9443076923076923,0.01985509637526358,0.9372635814889337,0.02149488610011361,0.9801230769230769,0.014873541109778716,0.962490811146169,0.007382253984098897
30,rbf,30.0,scale,,,balanced,0.9316228863563921,0.036113610767885884,0.9121261712232063,0.04381842965640273,0.8889230769230769,0.015640941571863198,0.9372635814889335,0.03459369893503551,0.9770871794871795,0.01697788104377723,0.9938074807480749,0.0030963189891199112
31,rbf,10.0,0.3,,,,0.9311149704170599,0.023721025803083922,0.9161031394953938,0.027402976377602885,0.984,0.019595917942265444,0.9344466800804829,0.023273129651532207,0.9842188034188034,0.015232395665555393,1.0,0.0
31,rbf,10.0,0.3,,,balanced,0.9311149704170599,0.023721025803083922,0.9161031394953938,0.027402976377602885,0.984,0.019595917942265444,0.9344466800804829,0.023273129651532207,0.9842188034188034,0.015232395665555393,1.0,0.0
31,rbf,30.0,0.3,,,,0.9311149704170599,0.023721025803083922,0.9161031394953938,0.027402976377602885,0.984,0.019595917942265444,0.9344466800804829,0.023273129651532207,0.9842188034188034,0.015232395665555393,1.0,0.0
31,rbf,30.0,0.3,,,balanced,0.9311149704170599,0.023721025803083922,0.9161031394953938,0.027402976377602885,0.984,0.019595917942265444,0.9344466800804829,0.023273129651532207,0.9842188034188034,0.015232395665555393,1.0,0.0
35,rbf,3.0,0.3,,,,0.930998745015232,0.019678327552438046,0.9157054369800441,0.022373547162881424,0.984,0.019595917942265444,0.9344466800804829,0.019451818877795957,0.9868786324786324,0.014866510899396135,1.0,0.0
36,rbf,0.3,0.1,,,balanced,0.930616860593205,0.022236679249374326,0.9144556489262372,0.02664514768069717,0.968,0.029933259094191523,0.9344466800804829,0.02144774838335726,0.980123076923077,0.013654918273117262,0.9551426863301546,0.004416613444069306
37,rbf,0.3,scale,,,,0.9299963588109911,0.016635149670008228,0.9074055894328129,0.022450242745103828,0.8572307692307692,0.03147498302164779,0.9373038229376258,0.014635168157236726,0.9806700854700855,0.012180225018886243,0.9518721933303869,0.0047848218631709755
37,rbf,0.3,0.03,,,,0.9299963588109911,0.016635149670008228,0.9074055894328129,0.022450242745103828,0.8572307692307692,0.03147498302164779,0.9373038229376258,0.014635168157236726,0.9806700854700855,0.012180225018886243,0.9518721933303869,0.0047848218631709755
39,rbf,30.0,0.01,,,balanced,0.9293579043337393,0.028980848183351192,0.9057574661070102,0.0397705430622994,0.8489230769230769,0.05365151635415902,0.9372635814889337,0.02500590799349837,0.9779760683760683,0.01948204940721387,0.9907042127146969,0.0031037375867106567
39,rbf,3.0,0.01,,,,0.9293579043337393,0.028980848183351192,0.9057574661070102,0.0397705430622994,0.8489230769230769,0.05365151635415902,0.9372635814889335,0.025005907993498368,0.9760205128205127,0.019062673966517497,0.9622701929655788,0.00824238407227915
